"날짜","Product ID","바코드","SKU ID","SKU 명","벤더아이템 ID","벤더아이템명","로켓프레시","상품카테고리","하위카테고리","세부카테고리","브랜드","매출액(GMV)","판매수량(Units Sold)","반품수량(Return Units)","매입원가(COGS)","AMV","쿠폰 할인가(쿠팡 추가 할인가 제외)","쿠팡 추가 할인가","즉시 할인가","프로모션발생매출액(GMV)","프로모션발생판매수량(Units Sold)","평균판매금액(ASP)","주문건수","주문 고객 수","객단가","구매전환율","PV","정기배송 매출액(SnS GMV)","정기배송 매입원가(SnS COGS)","정기배송 비중(SnS %)","정기배송 판매수량(SnS Units Sold)","정기배송 반품수량(Return Units)","상품평 수","평균 상품 평점"
"20260501","1824769228","8809487306924","12263239","오아 굿나잇 온열안대 눈 수면안대 눈찜질 아이마스크","71092770934","오아 굿나잇 온열 안대,OA-MA030,단일 색상","NO","CE","Health Appliance","마사지기","오아","29800.00","1","0","18151.00","28900.00","0.00","900","0.00","29800","1","29800.00","1","1","29800.00","1.85","54","0.00","0.00","0","0","0","0","0.0"
"20260501","1879044083","8809822425983","12362063","보아르 에이블 듀얼 에어프라이어 23리터 스텐 오븐 에어프라이기 가정용 대용량 에어후라이기","71180660246","보아르 에이블 듀얼 오븐 대용량 에어프라이어 23L,VAFR-002SI","NO","CE","Kitchen Appliance","미니오븐","보아르","938000.00","7","-1","588644.00","898920.00","4000.00","35080","0.00","938000","7","134000.00","8","8","134000.00","1.18","677","0.00","0.00","0","0","0","2","5.0"
"20260501","1915911330","8809487307815","12434130","오아 클린이소프트 전용 프리미엄 리필 칫솔모 블랙 4ea","71239962726","오아 클린이소프트 시리즈 리필 칫솔모 블랙 4p,VO-ET034,1세트","NO","CE","Electric Toothbrush","전동칫솔 액세서리","오아","297500.00","35","-1","189805.00","289000.00","8500.00","0","0.00","8500","1","8500.00","35","34","9000.00","24.31","144","0.00","0.00","0","0","0","2","4.0"
"20260501","5882456550","8809487307815","12434130","오아 클린이소프트 전용 프리미엄 리필 칫솔모 블랙 4ea","84635110205","오아 클린이 소프트B 음파 전동칫솔 블랙 + 소프트 리필 칫솔모 4P 블랙세트,OOT-003BK(칫솔), VO-ET034(브러쉬),블랙, 블랙,1세트","NO","CE","Electric Toothbrush","전동칫솔 액세서리","오아","15819.00","2","0","10846.00","15819.00","0.00","0","0.00","0","0","7909.50","2","2","7909.50","40.00","5","0.00","0.00","0","0","0","0","0.0"
"20260501","7282449620","8809487307815","12434130","오아 클린이소프트 전용 프리미엄 리필 칫솔모 블랙 4ea","85731843096","오아 클린이소프트 시리즈 리필 칫솔모 블랙 4p,VO-ET034,1세트","NO","CE","Electric Toothbrush","전동칫솔 액세서리","오아","0.00","0","-1","0.00","-1000.00","0.00","0","0.00","0","0","7900.00","1","1","7900.00","20.00","5","0.00","0.00","0","0","0","0","0.0"
"20260501","1915911330","8809487307815","12434130","오아 클린이소프트 전용 프리미엄 리필 칫솔모 블랙 4ea","95107704880","오아 클린이소프트 시리즈 리필 칫솔모 블랙 4p,VO-ET034,2세트","NO","CE","Electric Toothbrush","전동칫솔 액세서리","오아","68000.00","8","0","43384.00","68000.00","0.00","0","0.00","0","0","8500.00","4","4","17000.00","44.44","9","0.00","0.00","0","0","0","0","0.0"
"20260501","1915911330","8809487307815","12434130","오아 클린이소프트 전용 프리미엄 리필 칫솔모 블랙 4ea","95107704939","오아 클린이소프트 시리즈 리필 칫솔모 블랙 4p,VO-ET034,3세트","NO","CE","Electric Toothbrush","전동칫솔 액세서리","오아","25500.00","3","0","16269.00","25500.00","0.00","0","0.00","0","0","8500.00","1","1","25500.00","0","0","0.00","0.00","0","0","0","0","0.0"
"20260501","2309199830","8809487307785","12465755","오아 클린이 소프트 자동 압력센서 음파 전동칫솔 블랙","71263675852","오아 클린이 소프트 자동 압력센서 음파 방수 무선 전동칫솔,VO-OC001,블랙,1세트","NO","CE","Electric Toothbrush","전동칫솔","오아","452400.00","13","-1","275574.00","373120.00","41000.00","34800","0.00","417600","12","34800.00","14","14","34800.00","12.96","108","0.00","0.00","0","0","0","1","5.0"
"20260501","1940659064","8809487307594","12481759","보아르 에이블나인 가정용 캠핑용 자동세척 급속 제빙기 블랙","71281601133","보아르 에이블나인 제빙기 미니 휴대용 캠핑 소형 아이스메이커 가정용 얼음 자동세척,VO-KE001(블랙)","NO","CE","Kitchen Appliance","제빙기","보아르","148000.00","1","0","96506.00","148000.00","0.00","0","0.00","0","0","148000.00","1","1","148000.00","0.60","167","0.00","0.00","0","0","0","0","0.0"
"20260501","1940659064","8809487307600","12481760","보아르 에이블나인 가정용 캠핑용 자동세척 급속 제빙기 실버","71281601181","보아르 에이블나인 제빙기 미니 휴대용 캠핑 소형 아이스메이커 가정용 얼음 자동세척,VO-KE001(실버)","NO","CE","Kitchen Appliance","제빙기","보아르","148000.00","1","0","97401.00","148000.00","0.00","0","0.00","0","0","148000.00","1","1","148000.00","0.81","124","0.00","0.00","0","0","0","0","0.0"
